CC_Assembly walk debug — 2026-06-24T20:42:13.605213
Project: 1NSVB0-060050
Total occurrences visited: 30
CAM-ALPF tagged components: 0

--- CAM API exploration ---
ENABLE_CAM_PROBE=False — skipped (set True at top of CC_Assembly.py to re-enable)

depth | SM | CAM | material         | display_name (component)
------------------------------------------------------------------------------------------
    0 | SM  |     | Steel            | Component1:1 (Component1)
    0 | SM  |     | Steel            | Component2:1 (Component2)
    0 | SM  |     | Steel            | Component3:1 (Component3)
    0 |     |     |                  | TP0010-060000:1 (TP0010-060000)
    1 | SM  |     | Steel            | TP0011-060000:1 (TP0011-060000)
    1 | SM  |     | ALPF             | TP0012-060000 v3:1 (TP0012-060000 v3)
    0 |     |     |                  | FN0FL2-070544 v2:1 (FN0FL2-070544 v2)
    1 | SM  |     | ALPF             | FN0F00-060540 v2:1 (FN0F00-060540 v2)
    1 |     |     |                  | FN1BLA-060000 v9:1 (FN1BLA-060000 v9)
    2 | SM  |     | ALPF             | FN1BLA-120000:1 (FN1BLA-120000)
    1 |     |     |                  | FN2BNX-060000 v8:2 (FN2BNX-060000 v8)
    2 | SM  |     | ALPF             | FN2BNX-080000:1 (FN2BNX-080000)
    1 |     |     |                  | FN0FN3-080005:1 (FN0FN3-080005)
    2 |     |     |                  | Leg-060 v3:1 (Leg-060 v3)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v3:2 (Leg-060 v3)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v3:3 (Leg-060 v3)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    2 |     |     |                  | Leg-060 v3:4 (Leg-060 v3)
    3 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    3 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    3 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    1 |     |     | ALPF             | FN3BLA-060000 v10:1 (FN3BLA-060000 v10)
