CC_Assembly walk debug — 2026-06-26T09:12:52.840343
Project: 04 Ruth
Total occurrences visited: 253
CAM-ALPF tagged components: 0

--- CAM API exploration ---
ENABLE_CAM_PROBE=False — skipped (set True at top of CC_Assembly.py to re-enable)

depth | SM | CAM | material         | display_name (component)
------------------------------------------------------------------------------------------
    0 |     |     |                  | F1-08:1 (F1-08)
    1 |     |     |                  | 1L0V04-08005D v10:1 (1L0V04-08005D v10)
    2 |     |     |                  | BK0DN0-080000 v13:1 (BK0DN0-080000 v13)
    3 | SM  |     | ALPF             | BK1DN1-080000 v31:1 (BK1DN1-080000 v31)
    3 |     |     |                  | BK2TR1-080000 v7:1 (BK2TR1-080000 v7)
    4 | SM  |     | ALPF             | BXXTR0-000000:1 (BXXTR0-000000)
    4 | SM  |     | ALPF             | BXXTR0-000000:2 (BXXTR0-000000)
    4 | SM  |     | ALPF             | BXXTR0-000000:3 (BXXTR0-000000)
    4 | SM  |     | ALPF             | BXXTR0-000000:4 (BXXTR0-000000)
    2 |     |     |                  | SD00NA-080050 v11:1 (SD00NA-080050 v11)
    3 |     |     | ALPF             | SD0SUP-000000 v6:1 (SD0SUP-000000 v6)
    3 |     |     | ALPF             | SD00NA-080050 v12:2 (SD00NA-080050 v12)
    3 |     |     | ALPF             | SD0SUP-000000 v6:2 (SD0SUP-000000 v6)
    3 |     |     | ALPF             | SD00NA-080050 v12:1 (SD00NA-080050 v12)
    3 |     |     | ALPF             | SD0SUP-000000 v6:3 (SD0SUP-000000 v6)
    3 |     |     | ALPF             | SD0SUP-000000 v6:4 (SD0SUP-000000 v6)
    2 |     |     |                  | BM1LI0-080000 v3:1 (BM1LI0-080000 v3)
    3 | SM  |     | ALPF             | BM1LI0-080000 v4:1 (BM1LI0-080000 v4)
    2 |     |     |                  | FN0FL3-080058 v5:1 (FN0FL3-080058 v5)
    3 |     |     |                  | FN1BLA-080000 v9:1 (FN1BLA-080000 v9)
    4 | SM  |     | ALPF             | FN1BLA-120000:1 (FN1BLA-120000)
    3 | SM  |     | ALPF             | FN0F00-080540 v6:1 (FN0F00-080540 v6)
    3 |     |     |                  | FN2BNX-080000 v10:2 (FN2BNX-080000 v10)
    4 | SM  |     | ALPF             | FN2BNX-080000:1 (FN2BNX-080000)
    3 |     |     |                  | FN2BNX-080000 v10:3 (FN2BNX-080000 v10)
    4 | SM  |     | ALPF             | FN2BNX-080000:1 (FN2BNX-080000)
    3 |     |     |                  | FN0FN3-080005:1 (FN0FN3-080005)
    4 |     |     |                  | Leg-060 v3:1 (Leg-060 v3)
    5 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    5 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    5 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    4 |     |     |                  | Leg-060 v3:2 (Leg-060 v3)
    5 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    5 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    5 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    4 |     |     |                  | Leg-060 v3:3 (Leg-060 v3)
    5 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    5 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    5 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    4 |     |     |                  | Leg-060 v3:4 (Leg-060 v3)
    5 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    5 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
    5 |     |     | Acetal Resin, Bl | ฐานล้าง:1 (ฐานล้าง)
    4 |     |     |                  | Leg-060 v3:5 (Leg-060 v3)
    5 |     |     |                  | Leg - 080 mm. by YH:1 (Leg - 080 mm. by YH)
    5 |     |     | Acetal Resin, Bl | กลาง:1 (กลาง)
